3
300,300	
100,0	1,0	25,0	
151,1	52,1	76,1	
203,3	104,3	128,3	
256,6	157,6	181,6	
311,11	211,10	235,10	
368,18	266,15	291,16	
427,27	323,22	349,24	
487,37	382,31	409,34	
548,48	443,42	471,46	
610,60	506,55	534,59	
673,73	570,69	598,73	
737,87	635,84	663,88	
802,102	701,100	729,104	
868,118	768,117	796,121	
935,135	836,135	864,139	
1002,152	905,154	933,158	
1069,169	974,173	1002,177	
1136,186	1043,192	1071,196	
1203,203	1112,211	1140,215	
1270,220	1181,230	1209,234	
1337,237	1250,249	1278,253	
1404,254	1319,268	1347,272	
1471,271	1388,287	1416,291	
1538,288	1457,306	1485,310	
1605,305	1526,325	1554,329	
1672,322	1595,344	1623,348	
1739,339	1664,363	1692,367	
1806,356	1733,382	1761,386	
1873,373	1802,401	1830,405	
1940,390	1871,420	1899,424	
2007,407	1940,439	1968,443	
2074,424	2009,458	2037,462	
2141,441	2078,477	2106,481	
2208,458	2147,496	2175,500	
2275,475	2216,515	2244,519	
2342,492	2285,534	2313,538	
2409,509	2354,553	2382,557	
2476,526	2423,572	2451,576	
2543,543	2492,591	2520,595	
2610,560	2561,610	2589,614	
3131
