5
500,500	
40,0	200,0	350,0	600,0	800,0	
69,47	234,40	388,31	561,27	766,40	
126,121	302,100	464,71	483,59	698,100	
211,223	405,177	579,114	444,92	595,177	
323,353	546,265	655,165	444,130	454,265	
460,513	648,360	695,232	483,173	352,360	
609,635	723,484	703,322	561,218	277,484	
727,732	796,647	685,442	600,271	204,647	
817,802	852,775	656,600	603,340	148,775	
880,844	884,872	606,725	573,430	116,872	
917,857	889,941	520,833	516,548	111,941	
928,840	865,984	395,939	422,654	135,984	
915,792	810,1003	308,1036	363,742	190,1003	
879,712	721,1002	258,1120	338,811	279,1002	
824,598	596,985	245,1190	348,862	404,985	
758,446	432,961	269,1247	394,898	568,961	
684,333	307,932	331,1293	478,924	693,932	
584,249	218,887	432,1331	601,948	782,887	
447,177	161,819	572,1366	685,964	839,819	
349,111	131,722	673,1398	732,966	869,722	
288,59	121,591	735,1423	744,951	879,591	
263,24	120,422	759,1439	721,917	880,422	
273,6	127,292	745,1445	663,865	873,292	
319,4	153,196	693,1441	569,797	847,196	
402,15	205,130	602,1429	437,720	795,130	
524,33	288,88	472,1413	343,632	712,88	
607,53	406,64	381,1396	274,514	594,64	
652,82	563,48	329,1374	207,357	437,48	
660,124	681,37	316,1345	157,235	319,37	
632,181	762,40	342,1308	131,144	238,40	
568,253	809,62	407,1264	132,81	191,62	
466,335	824,107	511,1216	163,44	176,107	
403,425	809,177	576,1168	226,30	191,177	
364,546	766,274	602,1116	323,36	234,274	
337,630	698,401	589,1058	457,56	302,401	
334,683	613,563	537,994	630,79	387,563	
360,710	509,691	446,928	765,113	491,691	
419,715	366,818	394,857	867,169	634,818	
515,706	259,930	380,775	943,254	741,930	
572,695	186,1023	402,678	1000,373	814,1023	
592,671	147,1096	459,562	1048,530	853,1096	
577,629	142,1149	549,424	1094,648	858,1149	
528,567	172,1183	606,307	1131,728	828,1183	
443,490	238,1200	628,209	1155,771	762,1200	
364,452	341,1203	614,127	1164,778	659,1203	
298,451	483,1198	562,56	1158,749	517,1198	
241,488	664,1193	471,-10	1138,683	336,1193	
185,564	807,1179	419,-74	1107,579	193,1179	
136,601	914,1149	406,-133	1071,436	86,1149	
97,600	988,1098	432,-187	1031,332	12,1098	
1000
