3
1200,1200	
400,0	1,0	200,0	
450,0	51,0	250,0	
500,0	101,0	300,0	
550,0	151,0	350,0	
600,0	201,0	400,0	
650,0	251,0	450,0	
700,0	301,0	500,0	
750,0	351,0	550,0	
800,0	401,0	600,0	
850,0	451,0	650,0	
900,0	501,0	700,0	
950,0	551,0	750,0	
1000,0	601,0	800,0	
1050,0	651,0	850,0	
1100,0	701,0	900,0	
1150,0	751,0	950,0	
1200,0	801,0	1000,0	
1250,0	851,0	1050,0	
1300,0	901,0	1100,0	
1350,0	951,0	1150,0	
1400,0	1001,0	1200,0	
1450,0	1051,0	1250,0	
1500,0	1101,0	1300,0	
1550,0	1151,0	1350,0	
1600,0	1201,0	1400,0	
1650,0	1251,0	1450,0	
1700,0	1301,0	1500,0	
1750,0	1351,0	1550,0	
1800,0	1401,0	1600,0	
1850,0	1451,0	1650,0	
1900,0	1501,0	1700,0	
1950,0	1551,0	1750,0	
2000,0	1601,0	1800,0	
2050,0	1651,0	1850,0	
2100,0	1701,0	1900,0	
2150,0	1751,0	1950,0	
2200,0	1801,0	2000,0	
2250,0	1851,0	2050,0	
2300,0	1901,0	2100,0	
2350,0	1951,0	2150,0	
2819
