5
36,36	
5,0	7,0	9,0	12,0	4,0	
5,0	7,0	9,0	12,0	4,0	
6,1	8,1	10,1	13,1	5,1	
7,2	9,2	11,2	14,2	6,2	
9,3	11,3	13,3	16,3	8,3	
11,5	13,5	15,5	18,5	10,5	
13,7	15,7	17,7	20,7	12,7	
16,10	18,10	20,10	23,10	15,10	
19,13	21,13	23,13	26,13	18,13	
22,16	24,16	26,16	29,16	21,16	
26,20	28,20	30,20	33,20	25,20	
30,24	32,24	34,24	37,24	29,24	
34,28	36,28	38,28	41,28	33,28	
38,32	40,32	42,32	45,32	37,32	
42,36	44,36	46,36	49,36	41,36	
46,40	48,40	50,40	53,40	45,40	
50,44	52,44	54,44	57,44	49,44	
54,48	56,48	58,48	61,48	53,48	
58,52	60,52	62,52	65,52	57,52	
62,56	64,56	66,56	69,56	61,56	
65,59	67,59	69,59	72,59	64,59	
68,62	70,62	72,62	75,62	67,62	
71,65	73,65	75,65	78,65	70,65	
73,67	75,67	77,67	80,67	72,67	
75,69	77,69	79,69	82,69	74,69	
77,70	79,70	81,70	84,70	76,70	
78,71	80,71	82,71	85,71	77,71	
79,72	81,72	83,72	86,72	78,72	
79,72	81,72	83,72	86,72	78,72	
79,72	81,72	83,72	86,72	78,72	
103
